ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Pedon ID,Sample IDs,Sampling Start Date and Time,Site Type,Other - Site Type,General Land Cover,Other - General Land Cover,Tree Cover,Other Site Notes,x,y
1,28e113a1-c3d5-46ab-8d56-3514b79f3d65,4/12/2024 3:37:21 PM,pear0747_UMN,4/12/2024 3:37:21 PM,pear0747_UMN,24-02,24-008 - 24-011,4/12/2024 2:10:00 PM,Residential,,Maintained Lawn,,< 1%,,-93.1596742543591,44.986826776945
2,9842b83f-83f6-48e6-b067-acee0c8bbfb6,4/19/2024 7:06:29 PM,pear0747_UMN,4/19/2024 7:06:29 PM,pear0747_UMN,24-03,24-012 - 24-018,4/19/2024 5:01:00 PM,Residential,,Maintained Lawn,,10-33%,,-93.3195539327759,45.0020217208909
3,f48be7bd-7b4d-4693-9839-fefdaf42dc45,4/23/2024 3:57:13 PM,pear0747_UMN,4/23/2024 3:57:13 PM,pear0747_UMN,24-04,24-019 - unsure,4/19/2024 8:45:00 PM,Construction site,,Unmanaged Turfgrass,,1-10%,"Nic and Nora described and sampled. Did not fill out survey123 on site, but took photos onsite.",-93.1947000284675,44.9642664562388
4,06bf1dee-8391-4217-bd45-a2083085a0b3,4/23/2024 8:11:14 PM,pear0747_UMN,4/23/2024 8:11:14 PM,pear0747_UMN,2024MN05305,24-031,4/23/2024 5:35:00 PM,Residential,,Maintained Lawn,,1-10%,,-93.3865484339722,44.9399108469039
5,6b3e9f4f-e362-4563-ae36-c6a2fbdaa717,5/1/2024 4:33:40 PM,pear0747_UMN,5/1/2024 4:33:40 PM,pear0747_UMN,2024MN053007,24-043,5/1/2024 2:31:00 PM,Residential,,Maintained Lawn,,< 1%,,-93.2338800721188,44.990567277414
6,daa5d351-287e-439c-be22-1f14f0827fe5,5/2/2024 3:34:24 PM,pear0747_UMN,5/2/2024 3:34:24 PM,pear0747_UMN,2024MN053006,24-037,4/30/2024 2:15:00 PM,Residential,,Maintained Lawn,,10-33%,"
",-93.2165827392473,44.9240362446563
7,cde6eda8-96c5-4523-9e59-bc6c5e2eee27,5/9/2024 8:52:04 PM,pear0747_UMN,5/9/2024 8:52:04 PM,pear0747_UMN,2024MN123008,24-051,5/9/2024 6:00:00 PM,Residential,,Maintained Lawn,,< 1%,,-93.0627947569859,44.9796949850125
8,1d339113-ffcd-4b00-bad1-84a5516fd7c9,5/14/2024 3:39:48 PM,pear0747_UMN,5/14/2024 3:39:48 PM,pear0747_UMN,2024MN053009,24-056,5/14/2024 1:37:00 PM,Residential,,Maintained Lawn,,< 1%,,-93.2430916237677,45.0277830488796
9,2a9301df-d06d-4bc6-89f6-5dab976cedaa,5/22/2024 3:28:32 PM,pear0747_UMN,5/22/2024 3:28:32 PM,pear0747_UMN,2024MN123010,24-062,5/22/2024 1:34:00 PM,Park/Green Space,,Maintained Lawn,,< 1%,,-93.0514274478851,44.9174817609221
10,60f75200-dcf5-4f5a-bf10-73ca342c7edd,5/22/2024 8:20:32 PM,pear0747_UMN,5/22/2024 8:20:32 PM,pear0747_UMN,2024MN123011,24-067,5/22/2024 3:50:00 PM,Park/Green Space,,Maintained Lawn,,33-66%,,-93.0485732291444,44.9135426367064
11,bf475484-8689-4ea7-ae2c-552d9e5a5803,5/22/2024 8:20:41 PM,pear0747_UMN,5/22/2024 8:20:41 PM,pear0747_UMN,2024MN123012,24-072,5/22/2024 6:30:00 PM,Park/Green Space,,Maintained Lawn,,< 1%,,-93.0466435941635,44.9104475939199
12,11d13437-bfd5-4459-b441-83bc8eaa842d,5/23/2024 3:01:36 PM,pear0747_UMN,5/30/2024 1:17:13 AM,pear0747_UMN,2024MN053013,24-077,5/23/2024 1:45:00 PM,Residential,,Maintained Lawn,,66-100%,,-93.2473570208322,44.9218911125602
